text,label,label_id
"He will, you guys close?",ham,0
"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO",ham,0
Ok k..sry i knw 2 siva..tats y i askd..,ham,0
"I'll see, but prolly yeah",ham,0
"I'll see if I can swing by in a bit, got some things to take care of here firsg",ham,0
"I shall book chez jules for half eight, if that's ok with you?",ham,0
Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,ham,0
"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",ham,0
Ok Chinese food on its way. When I get fat you're paying for my lipo.,ham,0
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam,1
Jus came back fr lunch wif my sis only. U leh?,ham,0
Yup i'm elaborating on the safety aspects and some other issues..,ham,0
Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham,0
"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",ham,0
Pls call me da. What happen.,ham,0
"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",spam,1
Are u awake? Is there snow there?,ham,0
"Hmph. Go head, big baller.",ham,0
"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",ham,0
Thanx a lot...,ham,0
Oh ic. I thought you meant mary jane.,ham,0
Now got tv 2 watch meh? U no work today?,ham,0
Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,1
I notice you like looking in the shit mirror youre turning into a right freak,ham,0
No management puzzeles.,ham,0
1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,ham,0
Its sunny in california. The weather's just cool,ham,0
"fyi I'm at usf now, swing by the room whenever",ham,0
I asked sen to come chennai and search for job.,ham,0
Love it! I want to flood that pretty pussy with cum...,ham,0
Will ü b going to esplanade fr home?,ham,0
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,1
How are you. Wish you a great semester,ham,0
Hi happy birthday. Hi hi hi hi hi hi hi,ham,0
Can i get your opinion on something first?,ham,0
Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,ham,0
I anything lor...,ham,0
I am going to film 2day da. At 6pm. Sorry da.,ham,0
Do I? I thought I put it back in the box,ham,0
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,1
Dai what this da.. Can i send my resume to this id.,ham,0
Yes when is the appt again?,ham,0
And by when you're done I mean now,ham,0
She told to hr that he want posting in chennai:)because i'm working here:),ham,0
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham,0
I thought slide is enough.,ham,0
God bless.get good sleep my dear...i will pray!,ham,0
I called but no one pick up e phone. I ask both of them already they said ok.,ham,0
Free any day but i finish at 6 on mon n thurs...,ham,0
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam,1
Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),spam,1
Do u noe wat time e place dat sells 4d closes?,ham,0
One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,ham,0
But i juz remembered i gotta bathe my dog today..,ham,0
I went to project centre,ham,0
I will take care of financial problem.i will help:),ham,0
In e msg jus now. U said thanks for gift.,ham,0
